순,기수명,데뷔일자,최근1년전적,통산전적,기승가능중량,비고
1,　권석원,2013-06-01,8전(0/0/1),678전(38/38/50),52,
2,　김귀배,1979-04-11,93전(2/5/7),4515전(324/325/385),52,
3,　김덕현,2017-06-02,17전(1/0/1),404전(52/41/33),53,
4,　김동수,2014-06-05,281전(17/23/24),2930전(262/287/304),49,
5,(-3)김아현,2020-07-17,297전(9/18/19),420전(13/27/29),50,
6,　김옥성,1987-04-01,226전(5/15/13),8424전(543/650/747),52,
7,　김용근,2005-05-04,431전(53/47/41),5162전(806/672/577),51,
8,　김정준,2010-06-09,364전(31/31/32),2829전(174/217/221),52,
9,　김태훈,2013-06-01,130전(5/5/7),1027전(61/79/80),53,
10,(-4)김태희,2021-07-14,95전(6/8/7),95전(6/8/7),49,
11,　김효정,2017-06-02,329전(10/9/22),1203전(57/66/87),50,
12,　다비드,2017-12-01,352전(31/34/33),1542전(113/138/135),51,
13,　먼로,2019-02-01,363전(39/45/33),1022전(115/134/108),52,
14,　문성혁,2018-06-15,319전(33/26/28),832전(71/66/71),52,
15,　문세영,2001-07-06,283전(94/43/30),8289전(1746/1296/991),52,
16,　문정균,1998-06-15,201전(2/7/10),6439전(442/535/542),51,
17,　박병윤,2008-06-18,156전(5/9/4),2604전(160/194/197),53,
18,　박상우,2009-06-01,137전(1/5/6),2452전(91/148/153),52,
19,　박을운,1998-06-15,322전(26/25/25),3753전(434/421/373),52,
20,　박태종,1987-04-01,227전(32/20/26),14898전(2167/1997/1692),51,
21,　박현우,2012-06-07,230전(10/11/19),1856전(117/111/122),52,
22,　방춘식,1990-06-01,130전(3/1/5),4931전(371/376/419),51,
23,　부민호,2007-06-01,119전(4/8/8),1891전(127/124/145),52,
24,　빅투아르,2017-07-05,304전(23/33/31),1668전(170/183/184),52,
25,　송재철,2013-06-01,493전(51/55/45),3063전(238/275/274),52,
26,　신형철,1988-04-01,75전(4/5/8),7240전(754/796/745),52,
27,　안토니오,2017-05-06,342전(47/56/43),1899전(264/248/190),54,
28,　안효리,2012-06-07,7전(0/1/0),1626전(78/83/100),52,
29,　유승완,2007-06-01,373전(32/34/39),4693전(409/362/434),53,
30,　이동진,2017-06-02,0전(0/0/0),735전(48/53/51),49,미활동
31,　이동하,2016-06-18,0전(0/0/0),1408전(106/121/134),48,미활동
32,　이용호,2015-06-17,265전(9/12/20),876전(52/63/73),50,
33,　이철경,2016-06-18,222전(20/18/13),1116전(86/96/89),49,
34,　이혁,2011-08-24,349전(45/38/32),4176전(375/335/343),52,
35,　이현종,2015-06-18,238전(16/18/35),1543전(186/153/184),49,
36,　임기원,2013-06-19,212전(40/29/20),2669전(373/280/299),49,
37,　임다빈,2020-07-17,420전(28/30/34),554전(45/41/46),52,
38,　장추열,2010-06-09,414전(50/42/42),3377전(332/347/362),53,
39,　정정희,2014-06-05,302전(18/17/16),1642전(93/102/119),49,
40,　조상범,2014-06-05,395전(7/27/28),1572전(65/123/127),51,
41,　조재로,2015-06-18,0전(0/0/0),1406전(110/127/143),49,미활동
42,　조한별,2013-06-01,270전(13/13/14),1643전(61/106/113),51,
43,　지하주,1995-07-01,46전(0/1/1),3483전(263/278/305),51,
44,　최범현,2001-07-06,299전(38/46/31),6856전(856/807/722),53,
45,　하정훈,2015-06-18,170전(4/8/10),1469전(63/93/102),49,
46,　함완식,1998-06-15,281전(42/42/41),6102전(766/790/716),53,
47,　황종우,2007-05-19,1전(0/0/0),799전(25/33/47),51,
