,idx,name,ranked,fw,fd,mw,md,총수득상금(단위:원),
0,0,금로열,1,,574419755,"41,484,000원", ,615903755,
1,1,프라임퀸,2,1220375000, ,"69,370,000원", ,1289745000,
2,2,갑오풀퀸,3,,3588156497,"256,115,000원", ,3844271497,
3,3,플라잉토르,4,,574419755,,123741851,698161606,
4,4,블랙퓨펄,5,,59884471,"57,878,000원", ,117762471,
5,5,정성홀리데이,6,,4464612000,,95013592,4559625592,
6,6,용암장군,7,,2106636213,"156,911,000원", ,2263547213,
7,7,빅토리조이,8,,1826932981,"307,463,200원", ,2134396181,
8,8,쏘아라흑장군,9,,2014956840,,197913668,2212870508,
9,9,해피하와이,10,,3588156497,,0,3588156497,
10,10,에이스고고,11,,3707930092,,0,3707930092,
11,11,연승가이,12,1636444000, ,"10,934,000원",11447561,1658825561,
12,12,인듀어런스,1,,1826932981,"140,176,000원", ,1967108981,
13,13,킹오브이글,2,,1851397600,"511,520,000원", ,2362917600,
14,14,논스톱위닝,3,,808889998,0원, ,808889998,
15,15,깨우침,4,,4464612000,"251,002,000원", ,4715614000,
16,16,대군사랑,5,,6199397440,"2,000,000원", ,6201397440,
17,17,곡마단,6,,1826932981,,0,1826932981,
18,18,서울매직,7,,189784039,"107,712,000원", ,297496039,
19,19,젝스칸,8,,4464612000,,465348,4465077348,
20,20,무패함성,9,1225505000, ,"161,979,000원", ,1387484000,
21,21,비카브레이싱,1,,971579149,,19410829,990989978,
22,22,두리,2,,718159935,"55,287,000원", ,773446935,
23,23,레이디다이아,3,817614000, ,"101,880,000원", ,919494000,
24,24,캐럿시커,4,,943958418,,10627385,954585803,
25,25,송암바비,5,,530973702,,77032545,608006247,
26,26,세명스톰,6,470582000, ,"42,600,000원", ,513182000,
27,27,천지기상,7,,3350054213,,61363115,3411417328,
28,28,남녁의하늘,8,,530973702,,40851738,571825440,
29,29,인그란퀸,9,,4124218779,,41272000,4165490779,
30,30,대지공주,10,,1826932981,,8776464,1835709445,
31,31,금성가이,11,,460990016,,0,460990016,
32,32,위너브라운,1,,131338182,,192317859,323656041,
33,33,피렌체힐,2,,574419755,"95,420,000원", ,669839755,
34,34,리치룰즈,3,,3588156497,,172545222,3760701719,
35,35,엄지여왕,4,,366479001,,93422102,459901103,
