,Unnamed: 0,Unnamed: 0.1,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황,말전적
0,0,0,1.0,6,특별,한,암,2세,53,,문세영,전승규,♠배은정,,437(-3),3.9,1.4,"계란형큰, 망사눈",2(1/0/0)
1,1,1,2.0,4,용호지마,한,수,2세,55,,임기원,박재우,♠(주)디알엠씨티,1,524(10),2.3,1.4,망사눈+,5(0/3/0)
2,2,2,3.0,5,럭키인디,한,암,2세,53,,김효정,안해양,♠김성래,1¾,423(6),8.6,1.9,"망사+,눈가면-",6(0/1/1)
3,3,3,4.0,10,라온더위켄드,한,암,2세,53,,박태종,박종곤,♠라온산업개발(주),4,481(0),4.2,1.2,,5(1/0/0)
4,4,4,5.0,7,메이블레이드,한,암,2세,53,,김용근,이준철,♠김형란,1¼,438(-10),44.6,6.9,망사눈,5(1/0/0)
5,5,5,6.0,1,그랜드파워,한,수,2세,55,,김정준,김동균,♠박민지,코,504(4),7.7,1.7,,6(0/2/0)
6,6,6,7.0,12,알사이먼,한,암,2세,53,,송재철,신삼영,♠박정배,3,430(-13),64.0,11.8,,3(0/0/0)
7,7,7,8.0,8,골드윙,한,수,2세,55,,유현명,최영주,말사모,¾,451(8),117.8,19.8,망사눈,5(1/0/0)
8,8,8,9.0,3,감곡선샤인,한,암,2세,53,,송경윤,임채덕,손칠규,1¾,492(-10),61.6,18.1,"망사눈+,가지+",3(0/0/0)
9,9,9,10.0,9,스탠바이미,한,수,2세,55,,박현우,임봉춘,♠홍종운,코,500(7),201.4,57.7,눈가면+,3(0/0/0)
10,10,10,11.0,2,티케이존,한,수,2세,55,,이철경,이관호,♠김태권,1½,521(4),322.9,47.3,,3(0/0/0)
11,11,11,12.0,11,거센광풍,한,수,2세,55,,장추열,최상식,♠강석대,14,486(4),374.6,40.8,"계란형큰+, 망사눈",5(0/0/0)
12,12,0,1.0,1,예스아이캔,한,거,3세,56,,박현우,안해양,김길중,,480(6),2.4,1.1,망사눈,8(1/1/0)
13,13,1,2.0,9,스텔라로드,한,암,3세,54,,김용근,전승규,♠손병현,4,441(-32),4.6,1.9,망사눈,9(1/3/1)
14,14,2,3.0,6,스위트캠프,한,암,3세,54,,안토니오,최용구,송용만,1,515(-1),3.8,1.3,계란형큰,
15,15,3,4.0,2,다이아마이트,한,암,3세,54,,정정희,안병기,♠우태율,3,491(15),23.4,4.6,"계란형큰, 망사",6(1/0/0)
16,16,4,5.0,4,패스트트랙,한,수,2세,55,,송재철,강환민,♠윤우환,½,464(-2),17.4,2.9,"계란형큰, 망사",7(2/0/0)
17,17,5,6.0,5,거센기상,한,암,3세,54,,먼로,이신영,♠강석대,1¾,494(14),9.7,3.0,승인편자,
18,18,6,7.0,12,투에이스,한,거,3세,56,,김동수,임채덕,김순건,2½,468(-5),17.6,6.3,"망사,계란형큰-",6(0/0/0)
19,19,7,8.0,11,바다의꿈,한,거,3세,56,,김귀배,이희영,임현성,5,456(-2),131.0,15.1,"계란형큰+,눈가면+",6(0/0/0)
20,20,8,9.0,8,달타령,한,암,3세,54,,이철경,이관호,박태준,2½,521(8),19.0,2.9,망사,4(0/0/0)
21,21,9,10.0,10,통일전사,한,거,3세,56,,김옥성,김점오,♠백경무,1½,504(3),73.7,33.5,"반가지큰+, 망사눈,혀끈+,가지-",5(0/0/0)
22,22,10,11.0,7,스타로즈,한,암,2세,53,,조한별,지용철,♠금악목장,코,476(9),41.6,22.5,,
23,23,11,12.0,3,시크릿힐,한,암,3세,54,,조상범,구자흥,김근영,3,434(1),253.7,85.8,망사,
24,24,0,1.0,4,그레이트선더,한,수,3세,55,31.0,정정희,최용건,♠조건진,,507(1),8.5,1.2,"계란형큰, 망사",10(2/1/1)
25,25,1,2.0,6,대지의여걸,한,암,3세,55,35.0,먼로,강성오,♠김명식,1¼,458(6),9.5,2.0,망사눈,15(2/2/1)
26,26,2,3.0,8,와일드킹덤,한,수,4세,57,35.0,장추열,배휴준,양현모,1,554(14),29.1,7.8,"Triabit, 망사",16(1/1/4)
27,27,3,4.0,5,천둥세자,한,수,3세,55,31.0,김동수,김동균,♠김영근,¾,462(1),86.7,36.5,"계란형큰, 망사눈",13(2/0/1)
28,28,4,5.0,9,별빛마루,한,암,2세,52.5,32.0,임기원,박재우,♠서순배,½,455(-7),2.4,1.4,망사눈,8(1/0/1)
29,29,5,6.0,7,원더풀금성,한,암,3세,*52,27.0,조상범,신삼영,♠조창규,3,458(-4),133.8,14.0,"망사,혀끈+",11(0/2/0)
30,30,6,7.0,10,에이원퀸,한,암,3세,51.5,28.0,박태종,우창구,임영수,1¼,488(5),26.4,4.2,"반가지큰, 망사",
31,31,7,8.0,12,광양으뜸,한,거,4세,56,33.0,안토니오,박윤규,퍼플라인,¾,474(-4),3.5,2.2,"자극판, 망사",9(2/1/1)
32,32,8,9.0,2,블레싱로드,한,암,6세,52.5,30.0,방춘식,서범석,♠무라카미 켄세이,¾,404(-7),93.1,20.6,"계란형큰, 망사",43(2/3/3)
33,33,9,10.0,11,파워박스,한,수,2세,54,31.0,김용근,송문길,♠정형철,1¾,467(-2),4.7,1.5,반가지큰-,6(2/1/0)
34,34,10,11.0,1,장수나봄,한,수,4세,52,25.0,다비드,박재우,서동해,2,466(5),99.7,13.6,망사눈,17(1/1/2)
35,35,11,12.0,3,송암바비,한,암,6세,*52,21.0,문정균,유재길,♠송암축산,8,481(16),203.4,46.2,,
36,36,0,1.0,1,라피어반,한,암,3세,53.5,30.0,먼로,서범석,♠임종근,,491(2),6.2,2.3,망사,7(2/2/0)
37,37,1,2.0,7,배다리캔디,한,암,3세,56,35.0,송재철,홍대유,♠송한우,1,474(8),2.7,1.4,망사눈,16(2/1/1)
38,38,2,3.0,6,원더풀데블,한,암,3세,53.5,30.0,김용근,서홍수,♠(주)녹원목장,½,470(-16),10.1,2.5,망사,11(2/0/2)
39,39,3,4.0,3,메니피뮤직,한,암,2세,52.5,30.0,박태종,곽영효,♠이미경,3,526(2),7.1,2.5,,
40,40,4,5.0,8,성실머니,한,암,4세,52,27.0,김귀배,박윤규,♠이동훈,4,540(-1),8.7,3.4,"승인편자, 망사눈",11(1/3/2)
41,41,5,6.0,12,매직타이드,한,암,3세,52.5,28.0,문성혁,서인석,♠최상기,½,477(-8),7.8,1.9,,11(1/1/4)
42,42,6,7.0,5,주말의시작,한,암,3세,54,31.0,서승운,박윤규,퍼플라인,1¾,461(15),24.6,8.8,망사눈,
43,43,7,8.0,10,히트에이스,한,암,3세,53,29.0,이철경,이관호,정승희,3,469(-12),72.8,9.1,"계란형큰, 망사",10(0/2/0)
44,44,8,9.0,2,폴카,한,암,4세,53.5,30.0,이성재,조현수,정광화,목,441(-6),57.1,18.7,"계란형큰, 망사눈",20(1/0/2)
45,45,9,10.0,9,스마트핑크,한,암,3세,53.5,30.0,김정준,김동철,♠오종환,목,454(-2),71.4,7.3,망사,7(1/1/0)
46,46,10,11.0,11,디에코,한,암,4세,55,33.0,최범현,이준철,♠안희철,½,469(-1),7.8,1.9,,20(1/2/4)
47,47,11,12.0,4,무적장산,한,암,3세,53.5,30.0,다비드,강환민,♠삼정,½,413(-15),65.4,26.5,"망사, 혀끈",
48,48,0,1.0,2,몬스터케이,미,거,3세,58,50.0,안토니오,우창구,♠강경운,,494(4),8.3,2.0,망사,13(3/0/3)
49,49,1,2.0,6,디스챌린지,미,거,3세,56.5,47.0,문성혁,서인석,♠최상기,2,445(-1),11.6,2.2,,7(1/2/1)
50,50,2,3.0,3,남산의별,미,수,3세,55,44.0,빅투아르,리카디,♠이기선,1½,470(11),1.8,1.2,망사,14(2/1/5)
51,51,3,4.0,9,돌격앞으로,미,암,5세,52.5,43.0,김효정,최봉주,민홍기,¾,476(8),5.5,2.4,망사눈,27(1/2/4)
52,52,4,5.0,5,로맨스참,미,암,3세,*52,39.0,박을운,김동철,♠김세민,5,431(-6),9.4,1.9,망사+,
53,53,5,6.0,4,굿센스,미,거,5세,53.5,41.0,최범현,박종곤,♠에스지이건설,½,513(15),71.9,6.2,,
54,54,6,7.0,8,야무진독도,미,거,2세,*52,38.0,조한별,안병기,♠우태율,1,484(-1),29.5,7.1,"계란형큰+,눈가면+",5(1/0/0)
55,55,7,8.0,1,투어링라니,미,수,3세,*52,36.0,김옥성,최용구,♠공이공팔,5,491(6),298.6,27.2,"망사눈, 혀끈",
56,56,8,9.0,7,파노라마퀸,미,암,3세,*52,36.0,송재철,김동균,♠김영근,목,458(-10),222.7,50.1,계란형큰,10(0/0/0)
57,57,9,10.0,12,에이스찬,미,수,4세,51,37.0,(-1)임다빈,정호익,김광두,¾,454(2),15.4,5.9,망사눈,19(0/3/1)
58,58,10,11.0,11,파인터치,미,수,4세,56.5,47.0,함완식,홍대유,♠최동근,¾,436(4),11.9,2.4,,
59,59,11,12.0,10,로렐파워,미,거,3세,*52,36.0,문정균,임채덕,박충범,9,499(1),158.8,10.9,"승인편자, 망사눈,계란형큰-",
60,60,0,1.0,3,케이엔매직,한,암,3세,*52,36.0,문세영,박대흥,♠조경수,,482(-1),2.8,1.7,"승인편자, 망사",10(2/3/2)
61,61,1,2.0,8,사려니퀸,한,암,4세,51,37.0,임기원,구자흥,♠오영익,1¼,467(-12),4.1,1.5,망사눈,11(4/2/4)
62,62,2,3.0,5,금아키튼,한,수,4세,53,39.0,이용호,이신영,♠금아산업(주),목,534(8),11.8,4.6,"계란형큰, 망사눈, 혀끈",11(2/1/3)
63,63,3,4.0,2,가나파크,한,암,4세,51,38.0,(-1)임다빈,안해양,♠김한수,코,484(-13),84.1,45.0,,
64,64,4,5.0,10,원더케이,한,수,5세,52,37.0,박태종,우창구,♠강경운,머리,482(-5),14.7,3.9,"Triabit, 망사눈",16(2/3/1)
65,65,5,6.0,7,화이트코멧,한,수,5세,55.5,44.0,장추열,정호익,♠백국인,¾,509(8),32.5,2.6,망사눈,24(2/3/4)
66,66,6,7.0,12,대천얼짱,한,수,3세,54.5,42.0,먼로,최봉주,♠김경민,코,504(1),7.9,1.7,"계란형큰, 망사눈",13(2/3/1)
67,67,7,8.0,4,러닝킹,한,수,3세,53,39.0,김용근,지용철,♠오종환,2,512(-2),6.7,2.5,"계란형큰, 망사",13(1/4/0)
68,68,8,9.0,9,천마투데이,한,암,3세,51,38.0,다비드,배대선,♠박웅진,½,451(-1),18.9,3.9,"계란형큰, 망사",14(4/0/1)
69,69,9,10.0,11,리드보컬,한,암,3세,*52,40.0,송재철,안병기,강현철,3,496(4),26.9,5.9,망사눈,14(4/0/1)
70,70,10,11.0,6,안양호랑이,한,암,4세,*52,37.0,박을운,홍대유,(주)에이에프피,4,480(-1),61.3,11.0,망사눈,17(2/2/1)
71,71,11,12.0,1,홈커밍,한,암,5세,53,43.0,조한별,리카디,페가수스,6,458(19),14.4,9.2,"혀보정큰, 망사",
72,72,0,1.0,12,어마어마,미,수,4세,57,122.0,문세영,송문길,♠(주)나스카,,491(2),2.0,1.1,"계란형큰, 망사눈",15(10/2/1)
73,73,1,2.0,1,이스트제트,한,거,4세,57,118.0,먼로,서인석,♠김영구,½,496(-1),4.1,1.5,"계란형큰, 눈가면",18(9/4/0)
74,74,2,3.0,7,[부]영웅루이스,미,수,3세,56.5,70.0,페로비치,권승주,♠고희종,1½,536(4),13.6,2.6,"망사,혀끈+,Triabit-",
75,75,3,4.0,8,글로벌캡틴,미,수,5세,57,115.0,장추열,정호익,♠장재형,½,500(-2),24.8,4.0,"JR러깅, 망사눈",22(8/1/3)
76,76,4,5.0,10,모르피스,미,거,6세,57,130.0,빅투아르,이관호,♠박남성,1,521(6),7.4,1.7,"계란형큰, 망사눈",35(10/7/6)
77,77,5,6.0,2,스프링백,미,거,5세,57,110.0,정정희,안병기,♠(주)디알엠씨티,¾,511(-5),90.6,15.6,망사눈,25(6/4/0)
78,78,6,7.0,9,[부]대망의길,한,수,4세,57,92.0,송경윤,김길중,♠허필도,¾,471(-4),121.3,10.4,"계란형큰, 승인편자, 망사",
79,79,7,8.0,11,엠제이파워,미,거,5세,57,102.0,임기원,김동균,♠박정재,1¼,513(6),102.3,8.2,,26(5/4/4)
80,80,8,9.0,3,[부]블루치퍼,미,거,6세,57,136.0,유현명,민장기,♠최병부,¾,537(-2),4.7,1.7,"망사, 혀끈",
81,81,9,10.0,5,메디치글로리,미,수,5세,57,98.0,송재철,송문길,♠(주)나스카,½,511(-2),168.3,35.2,,
82,82,10,11.0,4,개나리송,한,거,5세,57,91.0,최범현,박대흥,김원숙,1,525(3),113.5,28.9,망사,19(8/2/0)
83,83,11,12.0,6,하바나찰리,미,거,5세,57,95.0,안토니오,최용구,♠강무웅,4,537(7),117.8,19.1,"눈가면, 반가지큰",
84,84,0,1.0,15,[부]미스터어플릿,한,수,5세,57,117.0,서승운,울즐리,♠정영식,,495(-16),3.7,1.3,"Triabit, 망사눈, 혀끈",
85,85,1,2.0,13,행복왕자,미,수,4세,57,99.0,김용근,박윤규,♠이방훈,코,561(-10),2.4,1.6,"계란형큰, 망사",16(8/3/1)
86,86,2,3.0,3,짱콩,미,수,6세,57,106.0,신형철,배대선,♠이태인,3,488(6),23.3,14.2,망사,27(5/4/5)
87,87,3,4.0,7,샴로커,미,수,8세,57,125.0,문세영,송문길,♠최몽주,1¾,511(2),48.0,16.0,망사,51(6/12/10)
88,88,4,5.0,8,흑전사,한,수,5세,57,115.0,함완식,김동균,김창희,¾,481(-1),26.9,13.0,망사눈,21(9/4/2)
89,89,5,6.0,5,슈퍼삭스,미,거,6세,57,114.0,조상범,리카디,♠김창식,1,507(3),164.8,20.3,"승인편자+, 망사",31(11/1/4)
90,90,6,7.0,14,문학치프,미,수,6세,57,138.0,장추열,정호익,♠권경자,2,544(6),6.2,2.5,"계란형큰+, 망사눈",29(14/5/3)
91,91,7,8.0,2,브리가디어제너럴,호,수,5세,57,103.0,송재철,서범석,♠청팅콩,½,500(13),108.6,11.2,망사눈,22(6/4/4)
92,92,8,9.0,6,릴패트론,미,거,5세,57,100.0,먼로,서인석,♠고재완,2,482(-9),48.4,9.1,"계란형큰, 눈가면",24(4/5/2)
93,93,9,10.0,4,[부]헌치,미,거,4세,57,86.0,페로비치,울즐리,♠박희상,5,497(-12),10.0,3.5,계란형큰,
94,94,10,11.0,11,[부]브레이브킹덤,미,수,5세,57,81.0,송경윤,이상영,곽종수,목,499(-3),341.3,31.9,"Triabit+, 망사눈,계란형큰-",
95,95,11,12.0,12,티즈플랜,미,수,6세,57,137.0,빅투아르,박재우,♠권경자,¾,492(1),16.5,2.2,,26(11/5/1)
96,96,12,13.0,1,[부]블루파워,한,수,4세,57,67.0,이성재,김길중,♠허필도,1¼,472(-10),64.8,3.3,"반가지큰, 망사눈",
97,97,13,14.0,10,[부]스마트프린스,일,수,6세,57,98.0,진겸,구영준,♠김갑수,목,483(-12),125.0,17.6,"반가지큰, 망사눈",
98,98,14,15.0,9,청담도끼,미,거,7세,57,138.0,안토니오,토니,♠김병진,5,506(-6),12.9,3.0,"계란형큰, 승인편자, 망사눈",38(18/7/2)
99,99,0,1.0,5,바이킹스톰,미,수,3세,55,54.0,문세영,박대흥,♠우순근,,504(9),3.4,1.5,망사,9(4/1/1)
100,100,1,2.0,1,돌아온뽀빠이,미,거,4세,57,61.0,김용근,최용구,이영해,목,511(5),7.7,3.0,"계란형큰, 망사눈",19(1/5/4)
101,101,2,3.0,8,발베니,미,수,3세,57,60.0,임기원,최용구,♠강무웅,¾,493(-9),28.6,11.7,"눈가면, 반가지큰",13(3/2/2)
102,102,3,4.0,2,마이티칩,미,수,3세,55,54.0,안토니오,서홍수,♠조병태,1¼,507(1),7.1,1.3,눈가면,9(4/0/2)
103,103,4,5.0,9,리빙스턴,한,수,6세,54,53.0,이기회,곽영효,♠최임규,¾,499(-15),106.0,5.1,망사눈,
104,104,5,6.0,6,럭키훈,미,거,3세,55,55.0,김동수,전승규,최기영,2,473(-1),7.4,1.8,"계란형큰, 망사눈",11(2/1/2)
105,105,6,7.0,3,히든삭스,미,수,4세,58,63.0,먼로,강성오,♠김창식,¾,502(6),12.8,2.6,"계란형큰, 눈가면, 승인편자, 혀끈",19(2/4/3)
106,106,7,8.0,12,스피드황룡,한,거,6세,54,52.0,박을운,김점오,과천시청,1¾,508(1),61.7,13.0,"망사눈+,Triabit-,망사-",
107,107,8,9.0,4,노던타임,미,거,3세,54,50.0,문성혁,서인석,♠최상기,2,495(-3),2.8,3.0,계란형큰,7(3/0/1)
108,108,9,10.0,10,문학선,미,수,3세,54,51.0,빅투아르,박병일,♠에스지이건설,4,594(1),36.5,4.0,,10(2/1/1)
109,109,10,11.0,7,빅트리플,미,거,4세,55,55.0,조상범,강환민,♠이종원,1¾,480(-7),39.6,15.8,"망사,계란형큰-",20(2/0/4)
110,110,11,12.0,11,문학에카티,미,수,4세,57,61.0,장추열,정호익,♠황봉기,6,531(21),146.2,24.9,망사눈,20(2/1/4)
111,0,0,1.0,4,피엔에스럭키,한,암,2세,53,,함완식,손영표,♠피엔에스커튼월,,469(-12),2.8,1.1,망사눈,6(2/1/0)
112,1,1,2.0,7,한강챔프,한,거,2세,55,,최범현,곽영효,♠나기두,8,517(-3),158.0,14.0,"계란형큰,양털코",5(0/3/0)
113,2,2,3.0,2,화수분,한,암,2세,53,,장추열,정호익,♠양순희,목,438(-7),1.9,1.3,,5(1/1/2)
114,3,3,4.0,1,청산영웅,한,거,2세,55,,유승완,이관호,♠황은호,1¼,433(-2),18.4,2.2,망사눈,7(0/0/1)
115,4,4,5.0,8,올포유어드림,한,수,2세,55,,송재철,신삼영,♠서창식,목,486(12),4.3,1.2,망사눈,4(0/1/0)
116,5,5,6.0,3,벼락,한,수,2세,55,,빅투아르,안해양,♠공이공팔,6,480(-10),93.8,5.9,망사눈-,6(1/1/0)
117,6,6,7.0,5,은혜드림,한,암,2세,53,,김정준,박병일,강태구,3,432(-5),23.9,2.5,,5(0/0/1)
118,7,7,8.0,6,애국자달려,한,수,2세,54,,(-1)임다빈,손영표,♠황경호,3,476(2),234.0,17.4,망사+,2(0/0/0)
119,8,8,9.0,9,황우강자,한,수,2세,55,,박태종,박종곤,♠남춘우,7,449(-5),38.7,12.3,망사눈+,2(0/0/0)
120,9,0,1.0,8,트리플런,한,암,2세,53,,장추열,정호익,이창모,,506(-7),4.1,2.2,망사눈,
121,10,1,2.0,1,제이트로스,한,암,2세,53,,김정준,송문길,♠허장원,¾,481(1),3.6,1.4,망사,5(1/2/0)
122,11,2,3.0,5,베스트야,한,암,2세,53,,김귀배,이희영,베스트샤인조합,4,471(5),326.3,34.7,눈가면+,5(1/0/3)
