,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,4,피엔에스럭키,한,암,2세,53,,함완식,손영표,♠피엔에스커튼월,,469(-12),2.8,1.1,망사눈
1,2,7,한강챔프,한,거,2세,55,,최범현,곽영효,♠나기두,8,517(-3),158.0,14.0,"계란형큰,양털코"
2,3,2,화수분,한,암,2세,53,,장추열,정호익,♠양순희,목,438(-7),1.9,1.3,
3,4,1,청산영웅,한,거,2세,55,,유승완,이관호,♠황은호,1¼,433(-2),18.4,2.2,망사눈
4,5,8,올포유어드림,한,수,2세,55,,송재철,신삼영,♠서창식,목,486(12),4.3,1.2,망사눈
5,6,3,벼락,한,수,2세,55,,빅투아르,안해양,♠공이공팔,6,480(-10),93.8,5.9,망사눈-
6,7,5,은혜드림,한,암,2세,53,,김정준,박병일,강태구,3,432(-5),23.9,2.5,
7,8,6,애국자달려,한,수,2세,54,,(-1)임다빈,손영표,♠황경호,3,476(2),234.0,17.4,망사+
8,9,9,황우강자,한,수,2세,55,,박태종,박종곤,♠남춘우,7,449(-5),38.7,12.3,망사눈+
0,1,8,트리플런,한,암,2세,53,,장추열,정호익,이창모,,506(-7),4.1,2.2,망사눈
1,2,1,제이트로스,한,암,2세,53,,김정준,송문길,♠허장원,¾,481(1),3.6,1.4,망사
2,3,5,베스트야,한,암,2세,53,,김귀배,이희영,베스트샤인조합,4,471(5),326.3,34.7,눈가면+
3,4,2,다이아파워캣,한,암,2세,53,,송재철,서인석,♠강균호,머리,459(-2),3.8,1.7,
4,5,7,불의꽃,한,암,2세,52,,(-1)임다빈,임채덕,♠황경호,목,470(-9),9.7,3.0,
5,6,3,골든스쿠프,한,암,2세,53,,김동수,이관호,♠김정철,3,471(-13),277.4,15.5,눈가면
6,7,11,정상제트,한,암,2세,53,,김옥성,박희철,♠정동진,목,476(29),9.7,2.3,눈가면
7,8,9,다프네,한,암,2세,53,,임기원,이신영,♠이건행,2,491(5),16.2,3.7,망사눈+
8,9,10,피엔에스헐,한,암,2세,53,,함완식,유재길,♠피엔에스홈즈,½,440(2),5.9,1.5,"계란형큰,망사눈"
9,10,4,금성스피드,한,암,2세,53,,정정희,박재우,♠조창규,2½,416(5),102.5,7.7,망사눈
