16675,16675,아이언머스킷,1,,"1,236,820USD ","4,200,000원", 
16676,16676,일격필살,2,,"1,037,810USD ",,"33,455USD "
16677,16677,남산시대,3,,"1,037,810USD ","511,781,000원", 
16678,16678,주말의시작,4,,"210,553USD ","157,894,000원", 
16679,16679,레드마운틴,5,,"905,434USD ",,"145,670USD "
16680,16680,비바챔피언,6,,"1,779,012USD ",,"110,915USD "
16681,16681,플라잉풀문,7,,"583,280USD ",,"7,966USD "
16682,16682,원더풀원더,8,"1,861,967,000원", ,"76,876,000원", 
16683,16683,댓츠마이보이,9,,"51,475USD ",,"3,535USD "
16684,16684,베스트빅뱅,10,,"1,037,810USD ",,"37,350USD "
16685,16685,금성강자,11,,"210,553USD ","21,920,000원", 
16686,16686,뉴그랜드,12,,"1,779,012USD ",,"2,340USD "
16687,16687,유롱스타,1,,"1,732,000USD ",,0
16688,16688,러닝킹,2,"1,087,822,000원", ,"85,580,000원", 
16689,16689,플라잉카라,3,,"1,967,099USD ",,0
16690,16690,퀸즈투어,4,,"51,475USD ",,"81,528USD "
16691,16691,라온샹젤리,5,,"1,236,820USD ",,"7,000,000JPY "
16692,16692,특권,5,,"1,779,012USD ",,"90,176USD "
16693,16693,플라잉인디,7,,"58,610USD ",0원, 
16694,16694,흑룡가무,8,,"1,037,810USD ",,"26,460USD "
16695,16695,정문지존,9,,"274,382USD ",,"38,831USD "
16696,16696,페페런,10,,"1,083,533USD ","103,855,000원", 
16697,16697,아이언마스크,11,,"1,037,810USD ",,"48,935USD "
16698,16698,인디라이트,12,,"1,103,496USD ",,"52,009USD "
16699,16699,스마트핑크,1,,"339,984USD ",, 
16700,16700,아담스애플,2,,"1,810,805USD ",,500USD 
16701,16701,빅토리카,3,,"1,779,012USD ","508,055,000원", 
16702,16702,큐피드원더,4,,"1,083,533USD ","181,674,000원", 
16703,16703,로즈데이마린,5,,"114,300USD ","99,328,000원", 
16704,16704,글로리칸,6,"2,426,805,000원", ,,"77,581USD "
16705,16705,하니,7,,"804,090USD ","118,483,000원", 
16706,16706,엠제이퀸,8,,"1,103,496USD ","39,446,000원", 
16707,16707,고속대박,9,,"835,140USD ",,"62,426USD "
16708,16708,컴플리트챔프,10,,"254,672USD ",,"46,346USD "
16709,16709,크라운조이,11,,"1,607,774USD ","138,984,000원", 
16710,16710,해피드림,12,,"1,732,000USD ","46,200,000원", 
16711,16711,케이엔여신,1,,"583,280USD ","101,880,000원", 
16712,16712,아로마,2,,"210,553USD ",0원, 
16713,16713,스카이퓨처,3,,"748,000USD ",,"168,798USD "
16714,16714,아킬리온,4,,"254,672USD ",,350USD 
16715,16715,원더풀조이,5,,"2,075,791USD ",,"145,551USD "
16716,16716,정문폭주,6,,"1,083,533USD ","113,960,000원", 
16717,16717,찬란한날,7,,"905,434USD ",,"104,085USD "
16718,16718,밀레니엄파워,8,,"339,984USD ","199,464,000원", 
16719,16719,금아콜로설,9,,"254,672USD ","108,515,000원", 
16720,16720,신의아들,10,,"1,732,000USD ",,"120,585USD "
16721,16721,녹두장수,11,,"3,084,278USD ","121,078,000원", 
16722,16722,다나은석세스,12,,"205,617USD ","167,687,000원",0
16723,16723,로열로드,1,,"835,140USD ","4,500,000원", 
16724,16724,레드백,2,,"3,084,278USD ",,0
16725,16725,베스트탑,3,,"205,617USD ","42,990,000원", 
16726,16726,맥스대로,4,"2,426,805,000원", ,"67,044,000원", 
16727,16727,원퍼트,5,,"339,984USD ","111,618,000원", 
16728,16728,그레이캣,6,,"1,037,810USD ",,"20,390USD "
16729,16729,고고고,7,,"51,475USD ","54,978,000원", 
16730,16730,오피서커맨딩,8,,"804,090USD ",,0
16731,16731,영웅대마,9,,"172,705,000JPY ","66,436,000원", 
16732,16732,파이널에이스,10,,"1,570,380USD ","45,240,000원", 
16733,16733,정문라이언,11,,"612,935USD ","2,106,000원", 
16734,16734,최강다이아,12,,"1,570,380USD ",,"15,840USD "
16735,16735,큐피드포인트,1,,"669,260USD ",,"13,526USD "
16736,16736,강화처녀,2,"656,707,000원", ,"62,770,000원", 
16737,16737,우승환희,3,,"1,732,000USD ","209,258,000원", 
16738,16738,은혜파도,4,,"254,672USD ",,0
16739,16739,고고스타,5,,"1,037,810USD ",,"34,444USD "
16740,16740,모닝뉴스,6,,"172,705,000JPY ","54,392,000원", 
16741,16741,쏘아라가즈,7,,"51,475USD ","323,250,000원", 
16742,16742,페더럴윈,8,,"172,705,000JPY ",,"300,000JPY "
16743,16743,내길의축복,9,,"339,984USD ","140,176,000원", 
16744,16744,천지부사,10,,"51,475USD ",,0
16745,16745,금아로버스트,11,,"1,503,825USD ","65,000,000원", 
16746,16746,선봉골드,12,,"480,001USD ","129,528,000원", 
16747,16747,글로벌선,1,,"1,810,805USD ",0원, 
16748,16748,퍼펙트파워,2,,"51,475USD ",,"198,635USD "
16749,16749,블랙실버,3,,"58,610USD ",,"80,592USD "
16750,16750,드림걸스,4,,"1,810,805USD ","100,200,000원", 
16751,16751,배다리캔디,5,,"1,659,560USD ",,"98,081USD "
