자식마명,부마원,부마달러,모마원,모마달러
금로열,,"493,755USD ","41,484,000원", 
프라임퀸,"1,220,375,000원", ,"69,370,000원", 
갑오풀퀸,,"3,084,278USD ","256,115,000원", 
플라잉토르,,"493,755USD ",,"106,365USD "
블랙퓨펄,,"51,475USD ","57,878,000원", 
정성홀리데이,,"416,475,000JPY ",,"81,671USD "
용암장군,,"1,810,805USD ","156,911,000원", 
빅토리조이,,"1,570,380USD ","307,463,200원", 
쏘아라흑장군,,"1,732,000USD ",,"170,121USD "
해피하와이,,"3,084,278USD ",,0AUD 
에이스고고,,"3,187,232USD ",,0
연승가이,"1,636,444,000원", ,"10,934,000원","9,840USD "
인듀어런스,,"1,570,380USD ","140,176,000원", 
킹오브이글,,"172,705,000JPY ","511,520,000원", 
논스톱위닝,,"695,299USD ",0원, 
깨우침,,"416,475,000JPY ","251,002,000원", 
대군사랑,,"578,302,000JPY ","2,000,000원", 
곡마단,,"1,570,380USD ",,0
서울매직,,"163,133USD ","107,712,000원", 
젝스칸,,"416,475,000JPY ",,400USD 
무패함성,"1,225,505,000원", ,"161,979,000원", 
컬러풀조이,,"51,475USD ",,"10,265USD "
비카브레이싱,,"835,142USD ",,"16,685USD "
두리,,"617,310USD ","55,287,000원", 
레이디다이아,"817,614,000원", ,"101,880,000원", 
캐럿시커,,"811,400USD ",,"9,135USD "
송암바비,,"456,410USD ",,"66,215USD "
세명스톰,"470,582,000원", ,"42,600,000원", 
천지기상,,"2,879,612USD ",,"52,746USD "
남녁의하늘,,"456,410USD ",,"35,115USD "
인그란퀸,,"3,545,062USD ",,"3,850,000JPY "
대지공주,,"1,570,380USD ",,"7,544USD "
금성가이,,"396,254USD ",,0USD 
화이트플라워,,"695,299USD ","197,345,000원", 
위너브라운,,"158,713AUD ",,"165,311USD "
피렌체힐,,"493,755USD ","95,420,000원", 
리치룰즈,,"3,084,278USD ",,"148,315USD "
엄지여왕,,"315,015USD ",,"80,303USD "
마이호크,,"491,312USD ","116,080,000원", 
파티파워,,"51,814,000JPY ",,"8,278USD "
미사일캔디,,"944,900USD ",,"34,560USD "
맘보천하,,"278,406USD ","19,495,000원", 
라온프로센스,,"1,732,000USD ","241,966,000원", 
방탄마,"689,387,200원", ,"155,903,000원", 
유니스,,"396,254USD ",,100USD 
다산의초대,,"339,984USD ","37,235,000원", 
다이아로드,,"158,713AUD ","202,949,000원", 
당대질주,,"1,607,774USD ",,0
캠프바다,,"339,984USD ","58,130,000원", 
천년해피,"1,225,505,000원", ,"147,460,000원", 
아이언하트,,"1,083,533USD ",,"898,000JPY "
레인,,"1,083,533USD ","125,768,000원", 
스틸런,,"3,187,232USD ","239,805,200원", 
블루메가엘라,,"1,083,533USD ",,0
크레이지큐,"817,614,000원", ,,"8,780USD "
종다리낭랑,,"3,545,062USD ","140,590,000원", 
주연,,"396,254USD ",,"262,002USD "
로열샬롬,,"339,984USD ","47,730,000원", 
창성럭키,,"85,630,000JPY ","164,595,000원", 
선오브선더,,"3,084,278USD ","38,433,000원", 
플라잉조이,,"315,015USD ",,"281,986USD "
한일달빛,,"274,382USD ",,"24,008USD "
섀도우머니,,"480,001USD ","145,668,800원", 
럭키봉화,,"315,015USD ","169,115,000원", 
원어게인,,"210,553USD ",,"77,610USD "
바람의미소,,"51,475USD ",,"25,200USD "
굳세어라,,"3,545,062USD ","56,396,000원", 
라이즈앤샤인,,"3,545,062USD ","202,050,000원", 
에메랄드킹,,"107,515USD ","202,350,000원", 
칠종칠금,,"396,254USD ",,"8,014USD "
백투백,,"1,732,000USD ",, 
리치마인,,"274,382USD ",,"52,689USD "
일각수,,"339,984USD ",,"81,140USD "
라온세레나,,"1,810,805USD ","49,730,000원", 
봄비스킹,"435,833,000원", ,,"34,400USD "
푸른질주,,"70,961,000JPY ",,"4,040,000JPY "
금순유,,"1,503,825USD ","292,350,000원", 
델타케이,,"278,406USD ","80,230,000원", 
정상으뜸,,"695,299USD ","37,299,000원", 
아워캣,,"435,597USD ",,"2,195USD "
위너스피릿,,"456,410USD ",,"112,985USD "
중전마마,,"568,629,000JPY ","84,660,000원", 
인천치프,,"1,634,200USD ",,"244,510USD "
매치캡틴,,"770,496USD ",,"21,280USD "
흥짱,,"2,765,800USD ",,"1,800USD "
스피드쇼크,,"795,071USD ",,"14,834USD "
인천스피드,,"742,640USD ",,"71,046USD "
선스타트,,"794,855USD ",,0
올댓코리아,,"454,630USD ",,"23,200USD "
프라우드섐록,,"389,141USD ",,"41,820USD "
동해클럽,,"172,705,000JPY ",,"16,528,000JPY "
본능대로,,"500,435USD ",,"131,553USD "
블루스타매직,,"1,606,000USD ",,0AUD 
정문스카이,,"633,076USD ",,"115,616USD "
라피도쿠스,,"654,681USD ",,"50,050USD "
이천쌀,,"107,515USD ",,"148,315USD "
큐피드데이트,,"3,084,278USD ",,"73,410USD "
한양공주,,"1,503,825USD ",,0
캡틴파워,,"568,629,000JPY ",,"53,091USD "
스피드황룡,,"416,475,000JPY ","69,635,000원", 
리슨트드림,,"51,475USD ","95,797,000원", 
브레인스피더,,"804,090USD ",0원, 
불의퀸,,"565,716USD ",,0
천년의비,,"1,503,825USD ","76,460,000원", 
센토사,,"1,570,380USD ","24,249,000원", 
그린신디,,"493,755USD ",,782USD 
삼애질주,,"493,755USD ",,"24,008USD "
최고여왕,,"1,607,774USD ","241,982,000원", 
최강캠프,,"51,475USD ",,"80,592USD "
기븐러너,,"1,083,533USD ",,"131,070USD "
정상드림,,"804,090USD ",,0
정문사랑,,"205,617USD ",, 
라온불패,,"804,090USD ","111,220,000원", 
정동사랑,,"1,083,533USD ","127,238,000원", 
만에하나,,"51,475USD ",,"16,630GBP "
퍼펙트플라잉,,"51,475USD ","262,254,000원", 
다크스파이더,,"3,545,062USD ","56,396,000원", 
컴플리트쇼크,,"274,382USD ",,"27,362USD "
빅클래식,,"804,090USD ",,0
호크의영광,,"1,610,604USD ",,0
금상천하,,"70,961,000JPY ","41,162,000원", 
라온조이,,"1,810,805USD ",,"4,940AUD "
