,자식마명,부마원,부마달러,모마원,모마달러
0,['금로열'],,"493,755USD ","41,484,000원", 
1,['프라임퀸'],"1,220,375,000원", ,"69,370,000원", 
2,['갑오풀퀸'],,"3,084,278USD ","256,115,000원", 
3,['플라잉토르'],,"493,755USD ",,"106,365USD "
4,['블랙퓨펄'],,"51,475USD ","57,878,000원", 
5,['정성홀리데이'],,"416,475,000JPY ",,"81,671USD "
6,['용암장군'],,"1,810,805USD ","156,911,000원", 
7,['빅토리조이'],,"1,570,380USD ","307,463,200원", 
8,['쏘아라흑장군'],,"1,732,000USD ",,"170,121USD "
9,['해피하와이'],,"3,084,278USD ",,0AUD 
10,['에이스고고'],,"3,187,232USD ",,0 
11,['연승가이'],"1,636,444,000원", ,"10,934,000원","9,840USD "
12,['인듀어런스'],,"1,570,380USD ","140,176,000원", 
13,['킹오브이글'],,"172,705,000JPY ","511,520,000원", 
14,['논스톱위닝'],,"695,299USD ",0원, 
15,['깨우침'],,"416,475,000JPY ","251,002,000원", 
16,['대군사랑'],,"578,302,000JPY ","2,000,000원", 
17,['곡마단'],,"1,570,380USD ",,0 
18,['서울매직'],,"163,133USD ","107,712,000원", 
19,['젝스칸'],,"416,475,000JPY ",,400USD 
20,['무패함성'],"1,225,505,000원", ,"161,979,000원", 
21,['컬러풀조이'],,"51,475USD ",,"10,265USD "
22,['비카브레이싱'],,"835,142USD ",,"16,685USD "
23,['두리'],,"617,310USD ","55,287,000원", 
24,['레이디다이아'],"817,614,000원", ,"101,880,000원", 
25,['캐럿시커'],,"811,400USD ",,"9,135USD "
26,['송암바비'],,"456,410USD ",,"66,215USD "
27,['세명스톰'],"470,582,000원", ,"42,600,000원", 
28,['천지기상'],,"2,879,612USD ",,"52,746USD "
29,['남녁의하늘'],,"456,410USD ",,"35,115USD "
30,['인그란퀸'],,"3,545,062USD ",,"3,850,000JPY "
31,['대지공주'],,"1,570,380USD ",,"7,544USD "
32,['금성가이'],,"396,254USD ",,0USD 
33,['화이트플라워'],,"695,299USD ","197,345,000원", 
34,['위너브라운'],,"158,713AUD ",,"165,311USD "
35,['피렌체힐'],,"493,755USD ","95,420,000원", 
36,['리치룰즈'],,"3,084,278USD ",,"148,315USD "
37,['엄지여왕'],,"315,015USD ",,"80,303USD "
38,['마이호크'],,"491,312USD ","116,080,000원", 
39,['파티파워'],,"51,814,000JPY ",,"8,278USD "
40,['미사일캔디'],,"944,900USD ",,"34,560USD "
41,['맘보천하'],,"278,406USD ","19,495,000원", 
42,['라온프로센스'],,"1,732,000USD ","241,966,000원", 
43,['방탄마'],"689,387,200원", ,"155,903,000원", 
44,['유니스'],,"396,254USD ",,100USD 
45,['다산의초대'],,"339,984USD ","37,235,000원", 
46,['다이아로드'],,"158,713AUD ","202,949,000원", 
47,['당대질주'],,"1,607,774USD ",,0 
48,['캠프바다'],,"339,984USD ","58,130,000원", 
49,['천년해피'],"1,225,505,000원", ,"147,460,000원", 
50,['아이언하트'],,"1,083,533USD ",,"898,000JPY "
51,['레인'],,"1,083,533USD ","125,768,000원", 
52,['스틸런'],,"3,187,232USD ","239,805,200원", 
53,['블루메가엘라'],,"1,083,533USD ",,0 
54,['크레이지큐'],"817,614,000원", ,,"8,780USD "
55,['종다리낭랑'],,"3,545,062USD ","140,590,000원", 
56,['주연'],,"396,254USD ",,"262,002USD "
57,['로열샬롬'],,"339,984USD ","47,730,000원", 
58,['창성럭키'],,"85,630,000JPY ","164,595,000원", 
59,['선오브선더'],,"3,084,278USD ","38,433,000원", 
60,['플라잉조이'],,"315,015USD ",,"281,986USD "
61,['한일달빛'],,"274,382USD ",,"24,008USD "
62,['섀도우머니'],,"480,001USD ","145,668,800원", 
63,['럭키봉화'],,"315,015USD ","169,115,000원", 
64,['원어게인'],,"210,553USD ",,"77,610USD "
65,['바람의미소'],,"51,475USD ",,"25,200USD "
66,['굳세어라'],,"3,545,062USD ","56,396,000원", 
67,['라이즈앤샤인'],,"3,545,062USD ","202,050,000원", 
68,['에메랄드킹'],,"107,515USD ","202,350,000원", 
69,['칠종칠금'],,"396,254USD ",,"8,014USD "
70,['백투백'],,"1,732,000USD ",, 
71,['리치마인'],,"274,382USD ",,"52,689USD "
72,['일각수'],,"339,984USD ",,"81,140USD "
73,['라온세레나'],,"1,810,805USD ","49,730,000원", 
74,['봄비스킹'],"435,833,000원", ,,"34,400USD "
75,['푸른질주'],,"70,961,000JPY ",,"4,040,000JPY "
76,['금순유'],,"1,503,825USD ","292,350,000원", 
77,['델타케이'],,"278,406USD ","80,230,000원", 
78,['정상으뜸'],,"695,299USD ","37,299,000원", 
79,['아워캣'],,"435,597USD ",,"2,195USD "
80,['위너스피릿'],,"456,410USD ",,"112,985USD "
81,['중전마마'],,"568,629,000JPY ","84,660,000원", 
82,['인천치프'],,"1,634,200USD ",,"244,510USD "
83,['매치캡틴'],,"770,496USD ",,"21,280USD "
84,['흥짱'],,"2,765,800USD ",,"1,800USD "
85,['스피드쇼크'],,"795,071USD ",,"14,834USD "
86,['인천스피드'],,"742,640USD ",,"71,046USD "
87,['선스타트'],,"794,855USD ",,0 
88,['올댓코리아'],,"454,630USD ",,"23,200USD "
89,['프라우드섐록'],,"389,141USD ",,"41,820USD "
90,['동해클럽'],,"172,705,000JPY ",,"16,528,000JPY "
91,['본능대로'],,"500,435USD ",,"131,553USD "
92,['블루스타매직'],,"1,606,000USD ",,0AUD 
93,['정문스카이'],,"633,076USD ",,"115,616USD "
94,['라피도쿠스'],,"654,681USD ",,"50,050USD "
95,['이천쌀'],,"107,515USD ",,"148,315USD "
96,['큐피드데이트'],,"3,084,278USD ",,"73,410USD "
97,['한양공주'],,"1,503,825USD ",,0 
98,['캡틴파워'],,"568,629,000JPY ",,"53,091USD "
99,['스피드황룡'],,"416,475,000JPY ","69,635,000원", 
