,자식마명,부마원,부마달러,모마원,모마달러
0,['글로벌골드'],,"114,300USD ",,0 
1,['러브위드미'],,"1,083,533USD ","156,911,000원", 
2,['트루'],"414,605,000원",0 ,"119,930,000원", 
3,['허리케인삭스'],,"583,280USD ",,"1,489USD "
4,['원지'],,"4,941,513USD ",,"148,914USD "
5,['최강특급'],,"254,672USD ",,"31,200USD "
6,['라피도아레스'],"76,502,000원", ,,"50,050USD "
7,['라이드럭키'],,"339,984USD ",,"4,300,000JPY "
8,['큐피드허니'],,"493,755USD ","36,160,000원", 
9,['더퀸제이'],,"1,732,000USD ",,"3,535USD "
10,['파이널에이스'],,"1,570,380USD ","45,240,000원", 
11,['블루타이거'],,"339,984USD ",,800AUD 
12,['진동'],,"493,755USD ",,"186,539USD "
13,['우승각'],,"2,075,791USD ",,"11,936USD "
14,['킹칸모르'],,"1,810,805USD ","94,103,000원", 
15,['가온찬'],,"996,330USD ",,"1,470USD "
16,['안양옥센'],,"1,177,394USD ",, 
17,['다이아키'],"817,614,000원", ,"74,250,000원", 
18,['달리는꿈'],,"172,705,000JPY ","84,526,000원", 
19,['카일룸제왕'],,"1,857,000USD ",,"43,148USD "
20,['비바아마도스'],,"521,040USD ",,"1,710USD "
21,['퍼스트드림'],,"915,075USD ",,"168,089USD "
22,['로드반'],,"33,840USD ",, 
23,['메이저알파'],,"315,015USD ","240,493,000원", 
24,['토함에이스'],,"1,503,825USD ","32,150,000원", 
25,['킹스턴하버'],,"51,475USD ","137,865,000원", 
26,['캡틴포스'],,"3,084,278USD ",,"2,500USD "
27,['엑톤블레이드'],,"1,503,825USD ",,"175,695USD "
28,['머니시장'],,"3,084,278USD ","67,895,000원", 
29,['원앤온리'],,"1,810,805USD ",,"11,100USD "
30,['스피드댄서'],,"1,732,000USD ",,"65,375USD "
31,['임페리얼실크'],,"493,755USD ","146,135,000원", 
32,['엘리트어게인'],,"695,299USD ","201,360,000원", 
33,['선더소니아'],,"1,732,000USD ","155,225,000원", 
34,['로드로즈'],,"51,475USD ","159,250,000원", 
35,['클린업벨라'],,"1,243,500USD ",,"51,051USD "
36,['월드캡틴'],,"2,690,600USD ",,"26,491USD "
37,['버스커뮤직'],,"557,022USD ",,"43,130USD "
38,['문학드림'],,"794,855USD ",,"137,513USD "
39,['금빛여왕'],,"1,380,200USD ",,"10,658USD "
40,['아이언삭스'],,"2,283,402USD ",,0 
41,['에이피파텍'],,"4,941,513USD ","277,074,000원", 
42,['마크스토리'],,"459,300USD ",,"227,350USD "
43,['풀부스터'],,"1,694,180USD ",,0 
44,['문학미스치프'],,"597,080USD ",,0 
45,['명진스톰'],,"1,031,596USD ",,0 
46,['나는스타'],,"3,307,278USD ",,0 
47,['디케이아리아'],,"751,629USD ",,"51,124USD "
48,['사랑댄서'],,"148,815USD ",,"45,909USD "
49,['에이스파워풀'],,"1,247,544USD ",,"20,070USD "
50,['위너챔프'],,"1,851,803USD ",,"16,487USD "
51,['고업'],,"254,672USD ",,0 
52,['그레이돌'],,"601,560USD ",,0 
53,['히든삭스'],,"224,684USD ",, 
54,['로드블랙'],,"3,924,648USD ",,640USD 
55,['위시미'],,"1,503,825USD ",,"90,330USD "
56,['에이투제트'],,"3,084,278USD ","485,085,000원", 
57,['전정사금'],,"254,672USD ",,"5,170USD "
58,['참일호'],,"254,672USD ","135,040,000원",0 
59,['골디락스'],,"3,545,062USD ","190,561,000원", 
60,['원더케이'],,"114,300USD ",,0 
61,['코레미카바요'],,"439,250USD ",,"16,579USD "
62,['헬로비너스'],,"3,545,062USD ","146,148,000원", 
63,['브라운파이'],,"1,083,533USD ",,"138,998USD "
64,['철비'],,"396,254USD ","87,410,000원", 
65,['원더풀라이언'],,"3,084,278USD ",,"112,985USD "
66,['닥터선더'],,"114,300USD ",,"329,217USD "
67,['영천더비'],,"114,300USD ",,"41,927USD "
68,['광야시대'],"409,030,000원", ,"17,025,000원", 
69,['알파독'],,"3,084,278USD ","4,347,000원", 
