,자식마명,부마원,부마달러,모마원,모마달러
0,['쏘아라보아'],,"51,475USD ","214,985,000원", 
1,['세명햇살'],,"1,810,805USD ",,0 
2,['언비튼가이'],,"601,560USD ",,0 
3,['점프블레이드'],,"405,730USD ",,"12,155USD "
4,['강서프린세스'],,"794,855USD ",,0 
5,['스틸더패션'],,"583,280USD ",,"88,430USD "
6,['농본바다'],,"3,307,278USD ",,"51,417USD "
7,['달타령'],,"254,672USD ","72,204,000원", 
8,['플라잉바비'],,"612,935USD ",,"66,215USD "
9,['퍼지퀸'],,"905,434USD ",,"80,662USD "
10,['빅터웨이'],,"1,732,780USD ",,"21,600USD "
11,['이스트임팩트'],,"3,084,278USD ",,"39,095USD "
12,['스위트주스바'],,"254,672USD ",,"16,000USD "
13,['장산레이저'],,"1,732,000USD ",,"136,410USD "
14,['청담프라이드'],,"1,037,810USD ",,"94,342USD "
15,['빅터문'],,"33,840USD ",, 
16,['레이스로열'],,"748,000USD ",, 
17,['대동포스'],,"301,500USD ",,"71,936USD "
18,['불의가속'],,"1,037,810USD ",,"72,057USD "
19,['데스크탑'],,"114,300USD ",,0 
20,['천상성'],,"583,280USD ",,0 
21,['모던골드'],,"389,141USD ",0원, 
22,['스타크레이지'],,"1,083,533USD ",,"1,489USD "
23,['엔에스미래'],,"578,302,000JPY ","113,439,000원", 
24,['배다리킹덤'],,"8,387,500USD ",,"237,299USD "
25,['임페리얼데이'],,"1,083,533USD ","330,540,000원", 
26,['라스트콜'],,"1,779,012USD ","91,000,000원", 
27,['쇼메이커'],,"32,400USD ",,"1,878USD "
28,['어나더클래스'],,"1,634,200USD ",,"203,752USD "
29,['스파이스타워'],,"1,258,256USD ",,"233,530USD "
30,['러브아치'],,"832,744USD ",,0 
31,['피렌체캐슬'],"190,033,000원", ,"206,236,000원", 
32,['스마트대보'],,"1,103,496USD ","60,246,000원", 
33,['스위트카카오'],,"1,810,805USD ",,"17,802USD "
34,['남산초콜릿'],,"339,984USD ",,"11,072USD "
35,['매직만점'],,"1,083,533USD ","209,258,000원", 
36,['순간타이밍'],,"114,300USD ",,"92,210USD "
37,['모닝힐'],,"215,019USD ","123,690,000원", 
38,['노르웨이서드'],,"3,084,278USD ","179,890,000원", 
39,['런던파워'],,"583,280USD ",,0 
40,['빅토리샘'],,"3,084,278USD ",,"127,695USD "
41,['킹엔젤마리아'],,"389,141USD ",,"82,336USD "
42,['티파니블루'],,"1,037,810USD ","462,480,000원", 
43,['지산군'],,"1,779,012USD ",,"61,640USD "
44,['스마트전사'],,"1,083,533USD ","8,400,000원", 
45,['정겨운'],,"274,382USD ",,"34,560USD "
