,자식마명,부마원,부마달러,모마원,모마달러
0,['올마이퀸'],,"491,312USD ",,"12,003USD "
1,['아워사이먼'],,"274,382USD ",,"20,800AUD "
2,['플라잉주노'],,"568,629,000JPY ",,"18,500AUD "
3,['베스트넘버원'],,"568,086USD ","91,962,000원", 
4,['화이트벨벳'],,"1,810,805USD ",,"61,020USD "
5,['새내빅토리'],,"51,475USD ",,0 
6,['골드페릴라'],,"804,090USD ","68,944,000원", 
7,['머니샤프'],,"456,410USD ",,0 
8,['우승마차'],,"371,623,500JPY ","80,767,000원", 
9,['대호천하'],,"3,084,278USD ","99,328,000원", 
10,['파인애플마크'],,"1,570,380USD ",0원, 
11,['킹오브룰즈'],,"3,084,278USD ","306,052,000원", 
12,['스마트파티'],,"500,435USD ",,"216,734USD "
13,['승리라이크'],,"210,553USD ",,0GBP 
14,['카이젠실버'],,"617,310USD ",,0 
15,['포에버위너'],,"835,142USD ","248,896,000원", 
16,['로열프린스'],,"1,732,000USD ",,0AUD 
17,['골든스텝'],,"70,961,000JPY ",,"327,311USD "
18,['여걸비전'],,"494,895,000JPY ","287,612,000원", 
19,['토함산파워'],,"163,133USD ","132,010,000원", 
20,['해가람'],,"1,283,145USD ","40,606,000원", 
21,['세라칸'],,"568,086USD ","155,619,000원", 
22,['음악대장'],,"133,833USD ","121,222,000원", 
23,['헤네시댄서'],,"1,610,604USD ",,220USD 
24,['사려니선더'],,"456,410USD ","42,637,000원", 
25,['블랙윈드'],,"339,984USD ",,0 
26,['블랙뮤직'],,"835,142USD ","210,222,000원", 
27,['강화총각'],,"3,084,278USD ","163,259,200원",0 
28,['슈퍼라이트닝'],,"1,889,766USD ",,"73,425USD "
29,['원더풀마리아'],,"416,475,000JPY ",,0 
30,['굿초이스'],,"416,475,000JPY ",,"11,072USD "
31,['내가끝판왕'],,"568,086USD ","167,200,000원", 
32,['루미네스'],"470,582,000원", ,"96,601,000원", 
33,['운주영웅'],,"2,580,402USD ",,"46,600USD "
34,['맹산히어로'],,"601,560USD ",,"12,880USD "
35,['마이티쿨'],,"568,086USD ",,0 
36,['과천히어로'],"728,298,000원", ,"116,542,000원", 
37,['월드스페셜'],,"4,471,322USD ",,"1,037USD "
38,['금성황제'],,"210,553USD ",,0USD 
39,['이글스카이'],,"396,254USD ","101,758,000원", 
40,['리빙스턴'],"579,356,000원", ,, 
41,['파이널스톰'],"451,805,000원", ,,"8,100USD "
42,['카일룸여제'],,"568,629,000JPY ","97,562,000원", 
43,['금아클리프'],,"971,269USD ",,"8,200AUD "
44,['대천히어로'],,"114,300USD ",,"137,366USD "
45,['천록'],,"339,984USD ","2,106,000원", 
46,['말리부진저'],,"33,840USD ",,"99,679USD "
47,['골든다이얼'],,"941,936USD ",,"70,613USD "
48,['대군의길'],,"562,000USD ",,"73,684USD "
49,['빅갈랜드'],,"710,480USD ",,0AUD 
50,['서울시대'],,"492,910USD ",,"33,083USD "
51,['케미블루'],,"1,779,012USD ",,"23,200USD "
52,['티아고터치'],,"2,358,270USD ",,0 
53,['콜윈'],,"633,076USD ",,"6,000USD "
54,['청담타이거'],,"831,335USD ",,"108,960USD "
55,['맨해튼뮤직'],,"6,169,800USD ",,365USD 
56,['스피드보스'],,"831,800USD ",,"2,762USD "
57,['위즈레이나'],,"1,284,949USD ",,"124,866USD "
58,['킹메신저'],,"480,001USD ",0원, 
59,['남손'],,"4,156,389USD ","85,842,000원", 
60,['햇빛나'],,"185,417USD ","157,894,000원", 
61,['베스트힐'],,"51,475USD ",,"1,700AUD "
62,['룰오브섬'],,"1,610,604USD ","122,439,000원", 
63,['산토스'],,"1,570,380USD ","115,231,000원", 
64,['파이어볼'],,"568,086USD ",,"1,033USD "
65,['스마트드림'],,"339,984USD ","135,025,000원", 
66,['파인챔프'],,"804,090USD ",,0 
67,['골드시나'],,"315,015USD ","177,532,000원", 
68,['올오브미'],"414,605,000원",0 ,,"272,457USD "
69,['동작'],,"1,810,805USD ",,"176,400USD "
70,['가나도라'],,"928,000USD ",,"138,998USD "
71,['금아킹덤'],,"8,387,500USD ",,"17,700USD "
72,['엘리트퀸'],"1,225,505,000원", ,"210,222,000원", 
73,['영스톰'],,"315,015USD ","151,850,000원", 
74,['피오레'],,"3,545,062USD ",,"10,420USD "
75,['호크아이즈'],,"1,610,604USD ",,0 
76,['인키타투스'],,"339,984USD ",,"54,150USD "
77,['엠제이로드'],"1,225,505,000원", ,"113,588,000원", 
78,['말라카스'],,"1,732,000USD ","423,095,000원", 
79,['브레이브업'],,"3,545,062USD ",,"71,118EUR "
80,['로열복순이'],,"1,570,380USD ",,"3,498USD "
81,['하이유레카'],,"185,417USD ","21,762,000원", 
82,['천행'],,"698,574USD ",,"11,670USD "
83,['동방의기억'],,"937,200AUD ",,0 
84,['삼성동행'],,"623,000USD ",,"45,723USD "
85,['적벽신화'],,"500,435USD ",,"32,776USD "
86,['추카추카'],,"872,610USD ",,"99,995USD "
87,['해오라비'],,"597,080USD ",,"39,586USD "
88,['신기파랑'],,"1,159,193USD ",,"55,720USD "
89,['황금들판'],,"225,941USD ",, 
