name,ranked,fw,fd,mw,md
금로열,1,,"493,755USD ","41,484,000원", 
프라임퀸,2,"1,220,375,000원", ,"69,370,000원", 
갑오풀퀸,3,,"3,084,278USD ","256,115,000원", 
플라잉토르,4,,"493,755USD ",,"106,365USD "
블랙퓨펄,5,,"51,475USD ","57,878,000원", 
정성홀리데이,6,,"416,475,000JPY ",,"81,671USD "
용암장군,7,,"1,810,805USD ","156,911,000원", 
빅토리조이,8,,"1,570,380USD ","307,463,200원", 
쏘아라흑장군,9,,"1,732,000USD ",,"170,121USD "
해피하와이,10,,"3,084,278USD ",,0AUD 
에이스고고,11,,"3,187,232USD ",,0
연승가이,12,"1,636,444,000원", ,"10,934,000원","9,840USD "
인듀어런스,1,,"1,570,380USD ","140,176,000원", 
킹오브이글,2,,"172,705,000JPY ","511,520,000원", 
논스톱위닝,3,,"695,299USD ",0원, 
깨우침,4,,"416,475,000JPY ","251,002,000원", 
대군사랑,5,,"578,302,000JPY ","2,000,000원", 
곡마단,6,,"1,570,380USD ",,0
서울매직,7,,"163,133USD ","107,712,000원", 
젝스칸,8,,"416,475,000JPY ",,400USD 
무패함성,9,"1,225,505,000원", ,"161,979,000원", 
비카브레이싱,1,,"835,142USD ",,"16,685USD "
두리,2,,"617,310USD ","55,287,000원", 
레이디다이아,3,"817,614,000원", ,"101,880,000원", 
캐럿시커,4,,"811,400USD ",,"9,135USD "
송암바비,5,,"456,410USD ",,"66,215USD "
세명스톰,6,"470,582,000원", ,"42,600,000원", 
천지기상,7,,"2,879,612USD ",,"52,746USD "
남녁의하늘,8,,"456,410USD ",,"35,115USD "
인그란퀸,9,,"3,545,062USD ",,"3,850,000JPY "
대지공주,10,,"1,570,380USD ",,"7,544USD "
금성가이,11,,"396,254USD ",,0USD 
위너브라운,1,,"158,713AUD ",,"165,311USD "
피렌체힐,2,,"493,755USD ","95,420,000원", 
리치룰즈,3,,"3,084,278USD ",,"148,315USD "
엄지여왕,4,,"315,015USD ",,"80,303USD "
마이호크,5,,"491,312USD ","116,080,000원", 
파티파워,6,,"51,814,000JPY ",,"8,278USD "
미사일캔디,7,,"944,900USD ",,"34,560USD "
맘보천하,8,,"278,406USD ","19,495,000원", 
라온프로센스,9,,"1,732,000USD ","241,966,000원", 
방탄마,10,"689,387,200원", ,"155,903,000원", 
유니스,11,,"396,254USD ",,100USD 
다산의초대,12,,"339,984USD ","37,235,000원", 
다이아로드,1,,"158,713AUD ","202,949,000원", 
당대질주,2,,"1,607,774USD ",,0
캠프바다,3,,"339,984USD ","58,130,000원", 
천년해피,4,"1,225,505,000원", ,"147,460,000원", 
아이언하트,5,,"1,083,533USD ",,"898,000JPY "
레인,6,,"1,083,533USD ","125,768,000원", 
스틸런,7,,"3,187,232USD ","239,805,200원", 
블루메가엘라,8,,"1,083,533USD ",,0
크레이지큐,9,"817,614,000원", ,,"8,780USD "
종다리낭랑,10,,"3,545,062USD ","140,590,000원", 
주연,11,,"396,254USD ",,"262,002USD "
로열샬롬,12,,"339,984USD ","47,730,000원", 
창성럭키,1,,"85,630,000JPY ","164,595,000원", 
선오브선더,2,,"3,084,278USD ","38,433,000원", 
플라잉조이,3,,"315,015USD ",,"281,986USD "
한일달빛,4,,"274,382USD ",,"24,008USD "
섀도우머니,5,,"480,001USD ","145,668,800원", 
럭키봉화,6,,"315,015USD ","169,115,000원", 
원어게인,7,,"210,553USD ",,"77,610USD "
바람의미소,8,,"51,475USD ",,"25,200USD "
굳세어라,9,,"3,545,062USD ","56,396,000원", 
라이즈앤샤인,10,,"3,545,062USD ","202,050,000원", 
에메랄드킹,11,,"107,515USD ","202,350,000원", 
칠종칠금,12,,"396,254USD ",,"8,014USD "
백투백,1,,"1,732,000USD ",, 
리치마인,2,,"274,382USD ",,"52,689USD "
일각수,3,,"339,984USD ",,"81,140USD "
라온세레나,4,,"1,810,805USD ","49,730,000원", 
봄비스킹,5,"435,833,000원", ,,"34,400USD "
푸른질주,6,,"70,961,000JPY ",,"4,040,000JPY "
금순유,7,,"1,503,825USD ","292,350,000원", 
델타케이,8,,"278,406USD ","80,230,000원", 
정상으뜸,9,,"695,299USD ","37,299,000원", 
아워캣,10,,"435,597USD ",,"2,195USD "
위너스피릿,11,,"456,410USD ",,"112,985USD "
중전마마,12,,"568,629,000JPY ","84,660,000원", 
인천치프,1,,"1,634,200USD ",,"244,510USD "
매치캡틴,2,,"770,496USD ",,"21,280USD "
흥짱,3,,"2,765,800USD ",,"1,800USD "
스피드쇼크,4,,"795,071USD ",,"14,834USD "
인천스피드,5,,"742,640USD ",,"71,046USD "
선스타트,6,,"794,855USD ",,0
올댓코리아,7,,"454,630USD ",,"23,200USD "
프라우드섐록,8,,"389,141USD ",,"41,820USD "
동해클럽,9,,"172,705,000JPY ",,"16,528,000JPY "
본능대로,10,,"500,435USD ",,"131,553USD "
블루스타매직,11,,"1,606,000USD ",,0AUD 
라피도쿠스,1,,"654,681USD ",,"50,050USD "
이천쌀,2,,"107,515USD ",,"148,315USD "
큐피드데이트,3,,"3,084,278USD ",,"73,410USD "
한양공주,4,,"1,503,825USD ",,0
캡틴파워,5,,"568,629,000JPY ",,"53,091USD "
스피드황룡,6,,"416,475,000JPY ","69,635,000원", 
강서으뜸,7,,"1,810,805USD ",,"170,121USD "
대명솔라,8,,"1,503,825USD ","61,468,000원", 
패스트패션,9,,"51,475USD ",,"35,950USD "
스트롱캡틴,10,,"493,755USD ",,975AUD 
본위너,11,,"1,283,145USD ",,"31,270USD "
흰별,12,,"568,086USD ",,"2,340USD "
