,Unnamed: 0,순위,마번,중복제거마명,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,0,1,1,금로열,금로열,한,수,3세,56,,이동하,우창구,♠배태곤,,457(1),1.5,1.1,눈가면
1,1,2,5,프라임퀸,프라임퀸,한,암,3세,54,,문세영,송문길,김진철,2½,501(8),3.5,1.2,"망사, 승인재갈+"
2,2,3,8,갑오풀퀸,갑오풀퀸,한,암,3세,54,,박상우,이관호,♠김평갑,4,409(0),10.2,1.4,"자극판, 망사"
3,3,4,4,플라잉토르,플라잉토르,한,수,3세,56,,김정준,강환민,♠김형순,2,532(-13),47.9,5,"망사눈, 승인재갈"
4,4,5,10,블랙퓨펄,블랙퓨펄,한,암,3세,54,,유승완,손영표,양현모,1½,482(1),7.9,2.2,"망사눈+, 승인편자, 혀끈, 망사-"
5,5,6,2,정성홀리데이,정성홀리데이,한,거,3세,56,,박병윤,심승태,임정균,½,437(-5),38.3,4.4,
6,6,7,12,용암장군,용암장군,한,수,3세,56,,방춘식,김점오,강종우,2½,445(8),85.4,9.3,망사눈
7,7,8,6,빅토리조이,빅토리조이,한,암,3세,54,,김태훈,지용철,남기태,½,501(7),158.5,19,
8,8,9,3,쏘아라흑장군,쏘아라흑장군,한,수,3세,56,,이준철,김대근,현태봉,목,542(3),75.7,8.4,
9,9,10,7,해피하와이,해피하와이,한,암,3세,54,,먼로,박윤규,♠오종환,4,491(-4),173.4,20.5,"망사눈+, 승인재갈"
10,10,11,11,에이스고고,에이스고고,한,암,3세,53,,(-1)조상범,구자흥,김광두,4,449(-5),200.8,31.4,
11,11,12,9,연승가이,연승가이,한,거,3세,56,,다비드,최영주,권인택,3,427(-3),259.8,41.9,망사눈
12,0,1,3,인듀어런스,인듀어런스,한,수,3세,56,,김정준,지용철,♠조용학,,530(-2),1.3,1,
13,1,2,8,킹오브이글,킹오브이글,한,거,3세,55,,빅투아르,이신영,♠신우철,10,461(-10),10.7,1.5,"망사눈-, 승인재갈-"
14,2,3,4,논스톱위닝,논스톱위닝,한,수,3세,55,,방춘식,박흥진,오왕근,¾,446(-9),15,2.4,
15,3,4,5,깨우침,깨우침,한,수,3세,54,,(-1)조상범,안병기,♠우태율,목,483(5),5.9,1.5,"망사+, 승인재갈, 망사눈-"
16,4,5,7,대군사랑,대군사랑,한,암,3세,53,,다나카,손영표,♠표종순,9,436(-18),39.5,8.1,망사
17,5,6,1,곡마단,곡마단,한,수,3세,55,,이철경,서인석,♠이종욱,¾,525(5),31.8,5,망사눈
18,6,7,10,서울매직,서울매직,한,수,3세,55,,김태훈,김동철,♠이시환,머리,455(-2),21.5,2.4,망사
19,7,8,2,젝스칸,젝스칸,한,수,3세,55,,김옥성,박희철,윤명수,4,457(9),53.1,6.6,"망사눈, 승인재갈"
